Difference,Parameter,Reference
-5.499659934,Bm,Head et al. (2014)
-5.304980109,Bm,Head et al. (2014)
-5.262340202,Bm,Head et al. (2014)
-5.184159975,Bm,Head et al. (2014)
-5.024640079,Bm,Head et al. (2014)
-4.916699865,Bm,Head et al. (2014)
-4.896380124,Bm,Head et al. (2014)
-4.733660069,Bm,Head et al. (2014)
-4.372860012,Bm,Head et al. (2014)
-4.356020288,Bm,Head et al. (2014)
-4.343859816,Bm,Head et al. (2014)
-4.189240131,Bm,Head et al. (2014)
-4.046860232,Bm,Head et al. (2014)
-3.987740107,Bm,Head et al. (2014)
-3.9799998,Bm,Head et al. (2014)
-3.943800001,Bm,Head et al. (2014)
-3.605399804,Bm,Head et al. (2014)
-3.579980102,Bm,Head et al. (2014)
-3.514620066,Bm,Head et al. (2014)
-3.504240205,Bm,Head et al. (2014)
-3.442460375,Bm,Head et al. (2014)
-3.20499897,Bm,Head et al. (2014)
-3.082999883,Bm,Head et al. (2014)
-3.03650022,Bm,Head et al. (2014)
-3.022999763,Bm,Head et al. (2014)
-3.020000458,Bm,Head et al. (2014)
-2.955639834,Bm,Head et al. (2014)
-2.872240138,Bm,Head et al. (2014)
-2.82,Bm,Head et al. (2014)
-2.75799942,Bm,Head et al. (2014)
-2.626119742,Bm,Head et al. (2014)
-2.52599988,Bm,Head et al. (2014)
-2.488719831,Bm,Head et al. (2014)
-2.368359861,Bm,Head et al. (2014)
-2.313999176,Bm,Head et al. (2014)
-2.250979924,Bm,Head et al. (2014)
-2.246039879,Bm,Head et al. (2014)
-2.243000031,Bm,Head et al. (2014)
-2.20499897,Bm,Head et al. (2014)
-2.119480295,Bm,Head et al. (2014)
-2.082020018,Bm,Head et al. (2014)
-1.979959958,Bm,Head et al. (2014)
-1.899580014,Bm,Head et al. (2014)
-1.826000214,Bm,Head et al. (2014)
-1.82567987,Bm,Head et al. (2014)
-1.806780109,Bm,Head et al. (2014)
-1.723979712,Bm,Head et al. (2014)
-1.677999496,Bm,Head et al. (2014)
-1.668000221,Bm,Head et al. (2014)
-1.654001236,Bm,Head et al. (2014)
-1.628001213,Bre,Head et al. (2014)
-1.600999832,Bre,Head et al. (2014)
-1.5999999,Bre,Head et al. (2014)
-1.5747,Bre,Head et al. (2014)
-1.573000908,Bre,Head et al. (2014)
-1.559000015,Bre,Head et al. (2014)
-1.558000565,Bre,Head et al. (2014)
-1.531600077,Bre,Head et al. (2014)
-1.517480111,Bre,Head et al. (2014)
-1.48900032,Bre,Head et al. (2014)
-1.482999802,Bre,Head et al. (2014)
-1.452999115,Bre,Head et al. (2014)
-1.446940053,Bre,Head et al. (2014)
-1.446001053,Bre,Head et al. (2014)
-1.43100071,Bre,Head et al. (2014)
-1.409998894,Bre,Head et al. (2014)
-1.407999992,Bre,Head et al. (2014)
-1.390000343,Bre,Head et al. (2014)
-1.368000984,Bre,Head et al. (2014)
-1.36400032,Bre,Head et al. (2014)
-1.322000504,Bre,Head et al. (2014)
-1.309000969,Bre,Head et al. (2014)
-1.284000397,Bre,Head et al. (2014)
-1.269939983,Bre,Head et al. (2014)
-1.203999519,Bre,Head et al. (2014)
-1.188000679,Bre,Head et al. (2014)
-1.164999008,Bre,Head et al. (2014)
-1.146999359,Bre,Head et al. (2014)
-1.066999435,Bre,Head et al. (2014)
-1.043140066,Bre,Head et al. (2014)
-0.998999596,Bre,Head et al. (2014)
-0.9699999,Bre,Head et al. (2014)
-0.969000816,Bre,Head et al. (2014)
-0.962920043,Bre,Head et al. (2014)
-0.96000004,Bre,Head et al. (2014)
-0.956000328,Bre,Head et al. (2014)
-0.95400006,Bre,Head et al. (2014)
-0.927000046,Bre,Head et al. (2014)
-0.906001091,Bre,Head et al. (2014)
-0.904579995,Bre,Head et al. (2014)
-0.883000374,Bre,Head et al. (2014)
