Difference,Parameter,Reference,
-4.87,Gm,Hoyos et al. (2011),
-4.759199791,Gm,Hoyos et al. (2011),
-4.743,Gm,Hoyos et al. (2011),
-4.6874003,Gm,Hoyos et al. (2011),
-4.545200224,Gm,Hoyos et al. (2011),
-4.307599926,Gm,Hoyos et al. (2011),
-4.157999973,Gm,Hoyos et al. (2011),
-4.09,Gm,Hoyos et al. (2011),
-3.79080019,Gm,Hoyos et al. (2011),
-3.7638,Gm,Hoyos et al. (2011),
-3.672800255,Gm,Hoyos et al. (2011),
-3.644400034,Gm,Hoyos et al. (2011),
-3.63,Gm,Hoyos et al. (2011),
-3.6299999,Gm,Hoyos et al. (2011),
-3.5900002,Gm,Hoyos et al. (2011),
-3.5900002,Gm,Hoyos et al. (2011),
-3.569200115,Gm,Hoyos et al. (2011),
-3.5388002,Gm,Hoyos et al. (2011),
-3.507599983,Gm,Hoyos et al. (2011),
-3.418800054,Gm,Hoyos et al. (2011),
-3.412800188,Gm,Hoyos et al. (2011),
-3.339199944,Gm,Hoyos et al. (2011),
-3.33200016,Gm,Hoyos et al. (2011),
-3.216799841,Gm,Hoyos et al. (2011),
-3.1900005,Gm,Hoyos et al. (2011),
-3.121199927,Gm,Hoyos et al. (2011),
-3.0952001,Gm,Hoyos et al. (2011),
-3.0928001,Gm,Hoyos et al. (2011),
-3.047600126,Gm,Hoyos et al. (2011),
-2.99,Gm,Hoyos et al. (2011),
-2.96399994,Gm,Hoyos et al. (2011),
-2.948800106,Gm,Hoyos et al. (2011),
-2.91159977,Gm,Hoyos et al. (2011),
-2.9099998,Gm,Hoyos et al. (2011),
-2.857999935,Gm,Hoyos et al. (2011),
-2.8123999,Gm,Hoyos et al. (2011),
-2.73,Gm,Hoyos et al. (2011),
-2.71,Gm,Hoyos et al. (2011),
-2.6792,Gm,Hoyos et al. (2011),
-2.6681998,Gm,Hoyos et al. (2011),
-2.6599998,Gm,Hoyos et al. (2011),
-2.6399999,Gm,Hoyos et al. (2011),
-2.6399999,Gm,Hoyos et al. (2011),
-2.624800158,Gm,Hoyos et al. (2011),
-2.616400099,Gm,Hoyos et al. (2011),
-2.606400137,Gm,Hoyos et al. (2011),
-2.5599995,Gm,Hoyos et al. (2011),
-2.492800245,Gm,Hoyos et al. (2011),
-2.49,Gm,Hoyos et al. (2011),
-2.4699998,Gm,Hoyos et al. (2011),
-2.44,Gm,Hoyos et al. (2011),
-2.42,Gm,Hoyos et al. (2011),
-2.36,Gm,Hoyos et al. (2011),
-2.35320013,Gm,Hoyos et al. (2011),
-2.34,Gm,Hoyos et al. (2011),
-2.3300002,Gm,Hoyos et al. (2011),
-2.3208,Gm,Hoyos et al. (2011),
-2.3200002,Gm,Hoyos et al. (2011),
-2.314000006,Gm,Hoyos et al. (2011),
