RA,Dec,parallax,pm_ra,pm_dec
205.55493797772,28.05741791924,1.98,-0.994,-2.891
205.54398417635,28.05069011697,0.2748,-1.053,-2.331
205.44759284413,28.05799656889,-0.6022,1.9,-3.358
205.44090539067,28.05987340604,-0.7141,2.345,-3.03
205.49763122204,28.06618679153,-0.1098,0.684,-2.854
205.47511918245,28.06105133982,3.5932,-35.483,9.421
205.50599880378,28.06126980021,3.8671,-13.848,3.652
205.50178007499,28.06986252288,2.0494,-21.883,13.337
205.50124924509,28.07309122031,2.0054,-22.449,14.315
205.49664820405,28.08436048559,0.3064,0.262,-2.787
205.52098891182,28.0797769856,0.2059,-0.633,-2.953
205.49587317397,28.08657950742,0.0699,-2.365,-4.437
205.52086741801,28.08101219838,0.2302,1.068,-2.987
205.48243507871,28.08237601617,-0.2569,0.569,-2.274
205.46287948007,28.08681072261,1.2009,-4.205,-6.091
205.44938315607,28.07681627842,0.0317,0.912,-2.745
205.4593120044,28.07710909297,0.2373,-1.656,-11.887
205.49043152802,28.1183409881,,,
205.4804301107,28.10607543827,0.1303,-3.736,-5.014
205.49397574332,28.10219577006,0.6415,-11.495,-43.124
205.50468436805,28.10174493096,0.1001,0.021,-2.616
205.46793428002,28.10119378728,0.0762,-0.308,-2.503
205.59085378225,28.04991410849,,,
205.59491193934,28.05273559959,8.0843,-60.127,-30.572
205.61829114771,28.06876187665,-0.0469,-2.211,-1.734
205.62101407012,28.06861935917,-0.0629,-0.288,-2.498
205.62669268851,28.05357592867,1.3242,-1.363,-1.992
205.61324718853,28.05681897629,0.2672,-0.48,-2.775
205.63033924469,28.05980154907,1.3269,3.379,-11.746
205.62037324046,28.06571856014,0.4796,-1.598,-4.251
205.63498943548,28.06552222504,0.8604,2.756,-19.088
205.66337797004,28.07128264577,0.3466,0.018,-0.594
205.6684754574,28.08179255531,0.4292,1.614,-3.127
205.69065156798,28.07849348931,0.496,-9.195,-7.458
205.70342052652,28.0809582494,-0.2091,1.853,0.074
205.68471939238,28.07160419706,0.2197,5.952,-4.924
205.63266606886,28.0748248816,1.8931,-27.215,-4.963
205.6481879279,28.0665083548,,,
205.63519308569,28.07699766228,0.198,4.932,2.181
205.66920787414,28.10683285409,,,
205.67390267681,28.10552085608,-0.408,0.943,-2.566
205.66047583873,28.10590067906,1.7507,-43.419,20.529
205.66236601194,28.09790851822,-0.4161,-3.112,-3.558
205.65324687293,28.09323039037,1.1006,-12.091,-4.667
205.68319224859,28.09916374773,1.0639,-8.438,-14.838
205.65726808499,28.09709084145,-0.8034,1.431,-3.592
205.67850645517,28.10103326301,0.3868,1.146,-3.582
205.68063487949,28.10575796701,,,
205.75131114663,28.10194238205,0.3134,-1.885,-9.096
205.7459145921,28.11301625499,0.9394,-15.745,-3.218
205.76462634265,28.11270575011,-0.2262,0.256,-2.761
205.76223678229,28.12360492585,0.3174,2.045,-7.388
205.80099861088,28.14744498516,0.2636,-10.733,3.494
205.71147427921,28.10311669792,-0.139,-7.254,-6.063
205.69845323592,28.10992160802,3.1151,-46.485,25.79
205.71005157692,28.10085243306,0.1866,1.357,-3.279
205.70687546419,28.10456503359,1.4435,-0.381,-4.471
205.73339830418,28.13495796167,0.3852,-15.266,-5.268
205.7295429743,28.12102021397,0.8975,-0.375,-2.131
205.72675656363,28.12224657369,-0.1635,4.589,-4.717
205.69954252016,28.11715110446,0.1369,-0.473,-2.059
205.68287050245,28.12755925807,0.5276,1.122,-4.49
205.68079942284,28.11276286751,-0.581,1.065,-1.918
205.68343143844,28.11529498811,3.3873,-61.223,6.297
205.69982915499,28.11775132164,0.2589,10.848,-11.76
205.71165938512,28.15363304635,0.8277,-10.047,1.882
205.70124847918,28.14666971781,0.179,-0.302,-2.611
205.72610455462,28.14279972355,-0.0584,-1.065,-2.799
205.72000320942,28.15001573869,-0.8498,-5.154,-1.845
205.71513049806,28.14981452439,0.3121,-0.52,-2.8
205.71179784581,28.13678237817,,,
205.70681502683,28.140311679,,,
205.74171397348,28.15381248292,2.3748,7.652,-35.926
205.75984042638,28.13529555675,-0.037,-3.159,-7.859
205.74913495512,28.13245862003,1.2003,-2.539,-2.169
205.73548456335,28.13867549613,-0.0729,0.024,-2.618
205.74988796917,28.13948651405,0.3921,-0.837,-2.756
205.74736608956,28.140080037,0.618,-1.049,-3.058
205.76380663378,28.14422199347,0.4939,3.036,-12.226
205.73764339687,28.14345922932,2.3128,-1.876,-2.636
205.76416121665,28.17371277382,,,
205.78190233819,28.16617881683,0.6618,-2.115,-5.206
205.77544097518,28.18037246506,0.6494,-1.39,-2.291
205.78648412613,28.16380808186,-0.1392,-1.997,-4.894
205.76672008572,28.16586538928,1.2788,1.769,-3.048
205.78918337482,28.15946297998,-0.7134,-7.563,-1.453
205.76675454702,28.17735890202,0.3789,-0.931,-3.781
205.77528628784,28.15480523309,0.5546,-5.974,-8.924
205.73075423358,28.14712756587,-0.263,0.505,-2.677
205.74393462987,28.16991325819,-0.868,6.383,-3.389
205.7453211056,28.16364082644,0.21,-0.109,-2.76
205.73532973799,28.15213099008,0.8335,-6.728,3.363
205.74671092275,28.15973041624,0.4865,1.007,-2.47
205.72050633391,28.16239346891,0.0681,-0.185,-2.697
205.72519082181,28.16513015307,1.6544,-13.799,-1.481
205.75526225288,28.19290705729,-5.0E-4,-0.188,-2.558
205.74760951803,28.18708094118,0.1963,-1.944,-2.649
205.74211309217,28.18964375675,0.8873,-0.549,-2.509
205.7538500739,28.18849475391,,,
205.74667344889,28.19900638079,0.6511,-5.394,-1.2
205.74522003552,28.19767948953,-0.3871,0.371,-1.27
205.76571442334,28.19147976751,0.9274,-0.549,-3.873
205.76595559133,28.18788903748,0.5218,-1.762,-8.106
205.75473622291,28.18313769991,,,
205.589144796,28.05824792197,0.4166,0.679,-2.657
205.56405717095,28.06778136384,0.4138,-4.578,-4.64
205.56998205749,28.06586466335,,,
205.58441141854,28.05805071268,0.1988,9.809,-17.624
205.57933998948,28.07856658741,0.0607,-0.063,-3.239
205.59034686069,28.0851485373,0.046,-0.407,-2.525
205.5877708523,28.08509737414,2.6845,-2.859,-3.477
205.61491028731,28.07877037439,-0.4423,0.648,-3.46
205.59713021556,28.08961568246,-0.6802,3.426,-3.856
205.59386847122,28.09408918672,0.5558,-5.46,1.064
205.60968909434,28.08861980609,0.0141,-0.186,-2.599
205.59490687926,28.07538982969,-0.9239,-0.276,-2.987
205.54697831494,28.08644387214,,,
